,LATITUDE,LONGITUDE,FIRE_YEAR,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE_CLASS,BBOX,Date
0,47.26122,-95.62319000000001,2015,115,Children,A,"[-95.64919, 47.24322, -95.59719, 47.27922]",2015-04-26
1,35.87285,-80.92465,2014,352,Children,B,"[-80.95065, 35.85485, -80.89865, 35.89085]",2014-12-19
2,47.8747,-94.99,2014,310,Children,B,"[-95.016, 47.8567, -94.964, 47.8927]",2014-11-07
3,40.8993,-74.5495,2014,307,Children,A,"[-74.5755, 40.8813, -74.5235, 40.9173]",2014-11-04
4,39.7023,-75.0047,2015,123,Children,A,"[-75.0307, 39.6843, -74.9787, 39.7203]",2015-05-04
5,46.58214,-91.88762,2015,74,Children,A,"[-91.91362, 46.56414, -91.86162, 46.60014]",2015-03-16
6,43.161,-77.3028,2015,102,Children,B,"[-77.3288, 43.143, -77.2768, 43.179]",2015-04-13
7,48.3126,-114.1982,2014,103,Children,A,"[-114.2242, 48.2946, -114.1722, 48.3306]",2014-04-14
8,44.0622,-99.4519,2015,324,Children,B,"[-99.4779, 44.0442, -99.4259, 44.0802]",2015-11-21
9,37.207917,-119.71295,2014,163,Children,A,"[-119.73895, 37.18992, -119.68695, 37.22592]",2014-06-13
10,47.8725,-94.9967,2014,284,Children,A,"[-95.0227, 47.8545, -94.9707, 47.8905]",2014-10-12
11,27.2445,-81.4057,2015,321,Children,B,"[-81.4317, 27.2265, -81.3797, 27.2625]",2015-11-18
12,47.8597,-94.8619,2015,100,Children,B,"[-94.8879, 47.8417, -94.8359, 47.8777]",2015-04-11
13,35.87035,-76.3937,2014,74,Children,A,"[-76.4197, 35.85235, -76.3677, 35.88835]",2014-03-16
14,33.8374,-117.210117,2014,135,Children,A,"[-117.23612, 33.8194, -117.18412, 33.8554]",2014-05-16
15,34.96685,-84.38360028,2014,67,Children,B,"[-84.4096, 34.94885, -84.3576, 34.98485]",2014-03-09
16,43.50291,-70.466472,2014,111,Children,A,"[-70.49247, 43.48491, -70.44047, 43.52091]",2014-04-22
17,47.8722,-95.0028,2015,107,Children,B,"[-95.0288, 47.8542, -94.9768, 47.8902]",2015-04-18
18,43.36888889,-85.72833333,2015,143,Children,B,"[-85.75433, 43.35089, -85.70233, 43.38689]",2015-05-24
19,34.51249,-92.50626,2014,264,Children,B,"[-92.53226, 34.49449, -92.48026, 34.53049]",2014-09-22
20,31.08397161,-89.88123916,2015,287,Children,B,"[-89.90724, 31.06597, -89.85524, 31.10197]",2015-10-15
21,34.95445,-76.695033,2015,147,Children,A,"[-76.72103, 34.93645, -76.66903, 34.97245]",2015-05-28
22,40.8818,-121.67033300000001,2015,152,Children,A,"[-121.69633, 40.8638, -121.64433, 40.8998]",2015-06-02
23,35.89488333,-77.87433333,2014,74,Children,A,"[-77.90033, 35.87688, -77.84833, 35.91288]",2014-03-16
24,47.8753,-94.8758,2015,291,Children,B,"[-94.9018, 47.8573, -94.8498, 47.8933]",2015-10-19
25,38.62,-95.37,2015,292,Children,B,"[-95.396, 38.602, -95.344, 38.638]",2015-10-20
26,48.0247,-94.9261,2015,105,Children,B,"[-94.9521, 48.0067, -94.9001, 48.0427]",2015-04-16
27,42.009409000000005,-70.884566,2015,130,Children,A,"[-70.91057, 41.99141, -70.85857, 42.02741]",2015-05-11
28,34.135971000000005,-80.892105,2014,22,Children,B,"[-80.9181, 34.11797, -80.8661, 34.15397]",2014-01-23
29,26.2596,-81.6943,2015,148,Children,B,"[-81.7203, 26.2416, -81.6683, 26.2776]",2015-05-29
30,35.8372,-110.3786,2014,163,Children,A,"[-110.4046, 35.8192, -110.3526, 35.8552]",2014-06-13
31,38.17575513,-81.30618533,2014,73,Children,A,"[-81.33219, 38.15776, -81.28019, 38.19376]",2014-03-15
32,44.11691,-89.9438,2014,109,Children,A,"[-89.9698, 44.09891, -89.9178, 44.13491]",2014-04-20
33,34.93298333,-85.165025,2014,91,Children,B,"[-85.19102, 34.91498, -85.13902, 34.95098]",2014-04-02
34,35.4468,-81.2789,2014,17,Children,A,"[-81.3049, 35.4288, -81.2529, 35.4648]",2014-01-18
35,34.83011331,-88.53687302,2014,100,Children,B,"[-88.56287, 34.81211, -88.51087, 34.84811]",2014-04-11
36,44.7875,-121.2528,2014,259,Children,A,"[-121.2788, 44.7695, -121.2268, 44.8055]",2014-09-17
37,40.554478,-73.920333,2014,95,Children,B,"[-73.94633, 40.53648, -73.89433, 40.57248]",2014-04-06
38,35.67875,-81.4919,2014,100,Children,B,"[-81.5179, 35.66075, -81.4659, 35.69675]",2014-04-11
39,44.0683,-99.4411,2014,288,Children,A,"[-99.4671, 44.0503, -99.4151, 44.0863]",2014-10-16
