,LATITUDE,LONGITUDE,FIRE_YEAR,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE_CLASS,BBOX,Date
0,30.9475,-85.5506,2014,61,Equipment_Use,C,"[-85.5766, 30.9295, -85.5246, 30.9655]",2014-03-03
1,41.23652,-77.30528000000001,2014,110,Equipment_Use,B,"[-77.33128, 41.21852, -77.27928, 41.25452]",2014-04-21
2,37.65,-100.02,2015,249,Equipment_Use,A,"[-100.046, 37.632, -99.994, 37.668]",2015-09-07
3,33.299665999999995,-98.24651,2014,70,Equipment_Use,D,"[-98.27251, 33.28167, -98.22051, 33.31767]",2014-03-12
4,34.46611111,-118.33388889,2014,192,Equipment_Use,A,"[-118.35989, 34.44811, -118.30789, 34.48411]",2014-07-12
5,42.6297,-122.8114,2015,270,Equipment_Use,B,"[-122.8374, 42.6117, -122.7854, 42.6477]",2015-09-28
6,30.6187,-86.8977,2014,17,Equipment_Use,B,"[-86.9237, 30.6007, -86.8717, 30.6367]",2014-01-18
7,43.0328,-112.3372,2014,145,Equipment_Use,D,"[-112.3632, 43.0148, -112.3112, 43.0508]",2014-05-26
8,43.84194,-121.46722,2015,283,Equipment_Use,A,"[-121.49322, 43.82394, -121.44122, 43.85994]",2015-10-11
9,37.37200779,-81.37597317,2014,92,Equipment_Use,B,"[-81.40197, 37.35401, -81.34997, 37.39001]",2014-04-03
10,32.704871000000004,-96.7253887,2014,346,Equipment_Use,A,"[-96.75139, 32.68687, -96.69939, 32.72287]",2014-12-13
11,34.533809999999995,-101.741281,2014,65,Equipment_Use,B,"[-101.76728, 34.51581, -101.71528, 34.55181]",2014-03-07
12,37.50745355,-80.50356169,2014,83,Equipment_Use,C,"[-80.52956, 37.48945, -80.47756, 37.52545]",2014-03-25
13,37.37,-97.15,2015,176,Equipment_Use,C,"[-97.176, 37.352, -97.124, 37.388]",2015-06-26
14,33.449742,-95.19335699999999,2015,294,Equipment_Use,B,"[-95.21936, 33.43174, -95.16736, 33.46774]",2015-10-22
15,39.83943815,-80.5582954,2015,330,Equipment_Use,B,"[-80.5843, 39.82144, -80.5323, 39.85744]",2015-11-27
16,32.576195,-96.17478100000001,2014,269,Equipment_Use,B,"[-96.20078, 32.5582, -96.14878, 32.5942]",2014-09-27
17,35.522,-81.3498,2015,168,Equipment_Use,B,"[-81.3758, 35.504, -81.3238, 35.54]",2015-06-18
18,32.42783333,-100.2962667,2014,118,Equipment_Use,C,"[-100.32227, 32.40983, -100.27027, 32.44583]",2014-04-29
19,43.241170000000004,-116.04038999999999,2014,194,Equipment_Use,A,"[-116.06639, 43.22317, -116.01439, 43.25917]",2014-07-14
20,41.7751,-74.2269,2014,114,Equipment_Use,B,"[-74.2529, 41.7571, -74.2009, 41.7931]",2014-04-25
21,35.21625,-80.96846666,2014,55,Equipment_Use,A,"[-80.99447, 35.19825, -80.94247, 35.23425]",2014-02-25
22,48.31343,-122.11137,2015,149,Equipment_Use,A,"[-122.13737, 48.29543, -122.08537, 48.33143]",2015-05-30
23,43.17618,-94.91542,2015,91,Equipment_Use,E,"[-94.94142, 43.15818, -94.88942, 43.19418]",2015-04-02
24,45.6831,-108.1458,2015,245,Equipment_Use,B,"[-108.1718, 45.6651, -108.1198, 45.7011]",2015-09-03
25,48.2852,-117.2569,2015,263,Equipment_Use,A,"[-117.2829, 48.2672, -117.2309, 48.3032]",2015-09-21
26,38.97,-95.34,2015,15,Equipment_Use,B,"[-95.366, 38.952, -95.314, 38.988]",2015-01-16
27,34.3308,-92.92220999999999,2015,26,Equipment_Use,B,"[-92.94821, 34.3128, -92.89621, 34.3488]",2015-01-27
28,43.1125,-114.0722,2014,186,Equipment_Use,G,"[-114.0982, 43.0945, -114.0462, 43.1305]",2014-07-06
29,35.167417,-87.750067,2014,69,Equipment_Use,A,"[-87.77607, 35.14942, -87.72407, 35.18542]",2014-03-11
30,38.11115,-120.87913300000001,2015,130,Equipment_Use,B,"[-120.90513, 38.09315, -120.85313, 38.12915]",2015-05-11
31,27.09,-82.1743,2014,96,Equipment_Use,A,"[-82.2003, 27.072, -82.1483, 27.108]",2014-04-07
32,32.1627,-104.3851,2014,214,Equipment_Use,A,"[-104.4111, 32.1447, -104.3591, 32.1807]",2014-08-03
33,43.24439,-116.04168999999999,2014,223,Equipment_Use,A,"[-116.06769, 43.22639, -116.01569, 43.26239]",2014-08-12
34,34.0854469,-98.17988790000001,2014,76,Equipment_Use,B,"[-98.20589, 34.06745, -98.15389, 34.10345]",2014-03-18
35,34.71035,-95.6601,2015,71,Equipment_Use,A,"[-95.6861, 34.69235, -95.6341, 34.72835]",2015-03-13
36,38.50581,-122.11154199999999,2015,203,Equipment_Use,G,"[-122.13754, 38.48781, -122.08554, 38.52381]",2015-07-23
37,39.06014515,-79.23880204,2015,74,Equipment_Use,B,"[-79.2648, 39.04215, -79.2128, 39.07815]",2015-03-16
38,26.8501,-81.5611,2014,47,Equipment_Use,A,"[-81.5871, 26.8321, -81.5351, 26.8681]",2014-02-17
39,43.71697,-104.13934,2014,110,Equipment_Use,A,"[-104.16534, 43.69897, -104.11334, 43.73497]",2014-04-21
40,32.892163000000004,-86.344774,2014,9,Equipment_Use,C,"[-86.37077, 32.87416, -86.31877, 32.91016]",2014-01-10
41,33.485456400000004,-97.1652345,2014,124,Equipment_Use,B,"[-97.19123, 33.46746, -97.13923, 33.50346]",2014-05-05
42,29.087346999999998,-98.66640799999999,2014,274,Equipment_Use,B,"[-98.69241, 29.06935, -98.64041, 29.10535]",2014-10-02
43,40.19056,-79.69278,2014,319,Equipment_Use,A,"[-79.71878, 40.17256, -79.66678, 40.20856]",2014-11-16
44,29.8024,-82.17200000000001,2015,124,Equipment_Use,B,"[-82.198, 29.7844, -82.146, 29.8204]",2015-05-05
45,31.916521000000003,-85.458801,2014,254,Equipment_Use,C,"[-85.4848, 31.89852, -85.4328, 31.93452]",2014-09-12
46,47.65222222,-94.66888889,2014,149,Equipment_Use,B,"[-94.69489, 47.63422, -94.64289, 47.67022]",2014-05-30
47,34.582836,-81.00125899999999,2014,126,Equipment_Use,B,"[-81.02726, 34.56484, -80.97526, 34.60084]",2014-05-07
48,33.63792,-117.81352199999999,2014,189,Equipment_Use,B,"[-117.83952, 33.61992, -117.78752, 33.65592]",2014-07-09
49,45.2465,-100.0586,2015,231,Equipment_Use,C,"[-100.0846, 45.2285, -100.0326, 45.2645]",2015-08-20
50,46.2574,-101.5198,2015,202,Equipment_Use,B,"[-101.5458, 46.2394, -101.4938, 46.2754]",2015-07-22
51,42.469440000000006,-102.2004,2014,203,Equipment_Use,C,"[-102.2264, 42.45144, -102.1744, 42.48744]",2014-07-23
52,38.26727862,-82.47996112,2014,299,Equipment_Use,B,"[-82.50596, 38.24928, -82.45396, 38.28528]",2014-10-27
53,34.761726,-81.02449,2015,20,Equipment_Use,B,"[-81.05049, 34.74373, -80.99849, 34.77973]",2015-01-21
54,33.787428999999996,-117.033599,2015,175,Equipment_Use,A,"[-117.0596, 33.76943, -117.0076, 33.80543]",2015-06-25
