,LATITUDE,LONGITUDE,FIRE_YEAR,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE_CLASS,BBOX,Date
0,42.3475,-121.825,2014,185,Fireworks,C,"[-121.851, 42.3295, -121.799, 42.3655]",2014-07-05
1,37.71,-97.28,2015,185,Fireworks,A,"[-97.306, 37.692, -97.254, 37.728]",2015-07-05
2,48.8633,-99.7208,2014,145,Fireworks,A,"[-99.7468, 48.8453, -99.6948, 48.8813]",2014-05-26
3,48.5497,-113.0164,2015,185,Fireworks,A,"[-113.0424, 48.5317, -112.9904, 48.5677]",2015-07-05
4,48.5606,-113.0114,2015,185,Fireworks,A,"[-113.0374, 48.5426, -112.9854, 48.5786]",2015-07-05
5,40.2923,-109.8611,2015,185,Fireworks,A,"[-109.8871, 40.2743, -109.8351, 40.3103]",2015-07-05
6,45.53967,-89.71481,2014,204,Fireworks,A,"[-89.74081, 45.52167, -89.68881, 45.55767]",2014-07-24
7,37.7073881,-81.73046153,2014,127,Fireworks,B,"[-81.75646, 37.68939, -81.70446, 37.72539]",2014-05-08
8,47.9767,-102.5825,2015,185,Fireworks,B,"[-102.6085, 47.9587, -102.5565, 47.9947]",2015-07-05
9,37.68944249,-80.5319199,2014,104,Fireworks,B,"[-80.55792, 37.67144, -80.50592, 37.70744]",2014-04-15
10,43.82998,-89.51228,2015,185,Fireworks,B,"[-89.53828, 43.81198, -89.48628, 43.84798]",2015-07-05
11,41.4331,-74.1148,2015,117,Fireworks,B,"[-74.1408, 41.4151, -74.0888, 41.4511]",2015-04-28
12,48.6278,-112.3619,2015,178,Fireworks,B,"[-112.3879, 48.6098, -112.3359, 48.6458]",2015-06-28
13,48.4656,-108.5947,2015,191,Fireworks,A,"[-108.6207, 48.4476, -108.5687, 48.4836]",2015-07-11
14,35.2086,-106.3619,2014,50,Fireworks,A,"[-106.3879, 35.1906, -106.3359, 35.2266]",2014-02-20
15,42.48222,-122.80611,2014,185,Fireworks,A,"[-122.83211, 42.46422, -122.78011, 42.50022]",2014-07-05
16,47.9878,-108.7011,2015,191,Fireworks,B,"[-108.7271, 47.9698, -108.6751, 48.0058]",2015-07-11
17,38.53885081,-79.77393098,2014,204,Fireworks,B,"[-79.79993, 38.52085, -79.74793, 38.55685]",2014-07-24
18,43.46136,-89.80937,2015,106,Fireworks,A,"[-89.83537, 43.44336, -89.78337, 43.47936]",2015-04-17
19,46.0618,-122.7523,2014,183,Fireworks,B,"[-122.7783, 46.0438, -122.7263, 46.0798]",2014-07-03
20,33.952078,-116.835406,2015,185,Fireworks,A,"[-116.86141, 33.93408, -116.80941, 33.97008]",2015-07-05
21,48.5467,-113.0164,2015,207,Fireworks,A,"[-113.0424, 48.5287, -112.9904, 48.5647]",2015-07-27
