,LATITUDE,LONGITUDE,FIRE_YEAR,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE_CLASS,BBOX,Date
0,47.05111111,-116.06305556,2014,216,Lightning,A,"[-116.08906, 47.03311, -116.03706, 47.06911]",2014-08-05
1,44.2695,-105.4925,2015,208,Lightning,C,"[-105.5185, 44.2515, -105.4665, 44.2875]",2015-07-28
2,38.74944444,-119.79694444,2014,197,Lightning,A,"[-119.82294, 38.73144, -119.77094, 38.76744]",2014-07-17
3,30.505059999999997,-97.95467,2014,239,Lightning,B,"[-97.98067, 30.48706, -97.92867, 30.52306]",2014-08-28
4,36.7889,-107.6881,2015,117,Lightning,A,"[-107.7141, 36.7709, -107.6621, 36.8069]",2015-04-28
5,45.1375,-118.83333,2014,224,Lightning,A,"[-118.85933, 45.1195, -118.80733, 45.1555]",2014-08-13
6,39.49083333,-111.8525,2015,161,Lightning,A,"[-111.8785, 39.47283, -111.8265, 39.50883]",2015-06-11
7,43.46138889,-122.52694444,2014,222,Lightning,B,"[-122.55294, 43.44339, -122.50094, 43.47939]",2014-08-11
8,44.84028,-119.05306000000002,2015,179,Lightning,A,"[-119.07906, 44.82228, -119.02706, 44.85828]",2015-06-29
9,30.95494444,-82.88144444,2015,229,Lightning,A,"[-82.90744, 30.93694, -82.85544, 30.97294]",2015-08-18
10,48.22166667,-121.06166667,2015,224,Lightning,B,"[-121.08767, 48.20367, -121.03567, 48.23967]",2015-08-13
11,47.21972222,-116.04722222,2015,224,Lightning,A,"[-116.07322, 47.20172, -116.02122, 47.23772]",2015-08-13
12,34.08222222,-111.82583333,2015,213,Lightning,D,"[-111.85183, 34.06422, -111.79983, 34.10022]",2015-08-02
13,48.50666667,-115.44972222,2015,227,Lightning,A,"[-115.47572, 48.48867, -115.42372, 48.52467]",2015-08-16
14,39.9575,-108.4894,2015,175,Lightning,A,"[-108.5154, 39.9395, -108.4634, 39.9755]",2015-06-25
15,40.7108,-73.6806,2014,191,Lightning,A,"[-73.7066, 40.6928, -73.6546, 40.7288]",2014-07-11
16,35.19194444,-112.21944444,2015,184,Lightning,A,"[-112.24544, 35.17394, -112.19344, 35.20994]",2015-07-04
17,32.97444444,-108.21666667,2015,190,Lightning,A,"[-108.24267, 32.95644, -108.19067, 32.99244]",2015-07-10
18,46.0092,-117.1752,2014,223,Lightning,C,"[-117.2012, 45.9912, -117.1492, 46.0272]",2014-08-12
19,41.05333333,-122.62638889,2014,202,Lightning,A,"[-122.65239, 41.03533, -122.60039, 41.07133]",2014-07-22
20,40.9122,-73.043,2015,236,Lightning,B,"[-73.069, 40.8942, -73.017, 40.9302]",2015-08-25
