,LATITUDE,LONGITUDE,FIRE_YEAR,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE_CLASS,BBOX,Date
0,25.89975,-81.29011,2015,5,Powerline,A,"[-81.31611, 25.88175, -81.26411, 25.91775]",2015-01-06
1,39.518386,-81.750566,2015,324,Powerline,A,"[-81.77657, 39.50039, -81.72457, 39.53639]",2015-11-21
2,48.34,-114.335,2015,143,Powerline,A,"[-114.361, 48.322, -114.309, 48.358]",2015-05-24
3,46.82630018,-93.52864916,2015,102,Powerline,A,"[-93.55465, 46.8083, -93.50265, 46.8443]",2015-04-13
4,38.6,-95.28,2015,315,Powerline,A,"[-95.306, 38.582, -95.254, 38.618]",2015-11-12
5,44.247609999999995,-84.08516999999999,2015,108,Powerline,B,"[-84.11117, 44.22961, -84.05917, 44.26561]",2015-04-19
6,32.147912,-94.77793620000001,2015,294,Powerline,A,"[-94.80394, 32.12991, -94.75194, 32.16591]",2015-10-22
7,30.732546999999997,-93.61663399999999,2014,117,Powerline,B,"[-93.64263, 30.71455, -93.59063, 30.75055]",2014-04-28
8,44.57361111,-83.69972222,2014,203,Powerline,A,"[-83.72572, 44.55561, -83.67372, 44.59161]",2014-07-23
9,37.19160278,-80.05219444,2015,317,Powerline,B,"[-80.07819, 37.1736, -80.02619, 37.2096]",2015-11-14
10,46.81637987,-95.76174187,2015,291,Powerline,B,"[-95.78774, 46.79838, -95.73574, 46.83438]",2015-10-19
11,46.11947198,-93.07980126,2015,92,Powerline,A,"[-93.1058, 46.10147, -93.0538, 46.13747]",2015-04-03
12,45.310278000000004,-69.40683299999999,2015,126,Powerline,A,"[-69.43283, 45.29228, -69.38083, 45.32828]",2015-05-07
13,47.4225,-93.99916667,2014,145,Powerline,C,"[-94.02517, 47.4045, -93.97317, 47.4405]",2014-05-26
14,44.3828,-103.9603,2015,220,Powerline,A,"[-103.9863, 44.3648, -103.9343, 44.4008]",2015-08-09
15,35.589639,-101.274886,2015,28,Powerline,C,"[-101.30089, 35.57164, -101.24889, 35.60764]",2015-01-29
16,34.104911,-98.573295,2015,343,Powerline,A,"[-98.5993, 34.08691, -98.5473, 34.12291]",2015-12-10
17,38.1,-122.25,2015,230,Powerline,A,"[-122.276, 38.082, -122.224, 38.118]",2015-08-19
18,39.04917859,-81.45615511,2014,103,Powerline,B,"[-81.48216, 39.03118, -81.43016, 39.06718]",2014-04-14
19,34.331444,-81.93695799999999,2014,21,Powerline,B,"[-81.96296, 34.31344, -81.91096, 34.34944]",2014-01-22
20,30.6481,-84.3732,2014,190,Powerline,B,"[-84.3992, 30.6301, -84.3472, 30.6661]",2014-07-10
21,33.364643,-86.648099,2014,220,Powerline,B,"[-86.6741, 33.34664, -86.6221, 33.38264]",2014-08-09
22,37.28976944,-79.34584167,2014,111,Powerline,C,"[-79.37184, 37.27177, -79.31984, 37.30777]",2014-04-22
23,39.7,-97.52,2015,354,Powerline,C,"[-97.546, 39.682, -97.494, 39.718]",2015-12-21
24,42.8622,-76.9862,2015,313,Powerline,B,"[-77.0122, 42.8442, -76.9602, 42.8802]",2015-11-10
25,46.4611,-116.3181,2015,241,Powerline,B,"[-116.3441, 46.4431, -116.2921, 46.4791]",2015-08-30
26,44.36218,-90.02415,2015,313,Powerline,A,"[-90.05015, 44.34418, -89.99815, 44.38018]",2015-11-10
27,44.69628,-83.80676,2014,110,Powerline,B,"[-83.83276, 44.67828, -83.78076, 44.71428]",2014-04-21
28,30.200188,-96.961727,2015,277,Powerline,B,"[-96.98773, 30.18219, -96.93573, 30.21819]",2015-10-05
29,46.498740000000005,-92.07146999999999,2015,92,Powerline,A,"[-92.09747, 46.48074, -92.04547, 46.51674]",2015-04-03
30,39.441332,-82.609679,2015,317,Powerline,B,"[-82.63568, 39.42333, -82.58368, 39.45933]",2015-11-14
31,28.734433000000003,-96.95702299999999,2015,88,Powerline,B,"[-96.98302, 28.71643, -96.93102, 28.75243]",2015-03-30
32,37.66128966,-80.74114418,2014,324,Powerline,C,"[-80.76714, 37.64329, -80.71514, 37.67929]",2014-11-21
33,44.07423,-84.80946999999999,2014,146,Powerline,A,"[-84.83547, 44.05623, -84.78347, 44.09223]",2014-05-27
34,27.63519,-97.295265,2015,255,Powerline,A,"[-97.32126, 27.61719, -97.26926, 27.65319]",2015-09-13
35,45.53416667,-116.29833333,2014,205,Powerline,B,"[-116.32433, 45.51617, -116.27233, 45.55217]",2014-07-25
36,35.4911,-96.4225,2014,26,Powerline,B,"[-96.4485, 35.4731, -96.3965, 35.5091]",2014-01-27
37,33.946671,-81.031418,2015,189,Powerline,B,"[-81.05742, 33.92867, -81.00542, 33.96467]",2015-07-09
38,31.929729,-97.306337,2014,45,Powerline,A,"[-97.33234, 31.91173, -97.28034, 31.94773]",2014-02-15
