,LATITUDE,LONGITUDE,FIRE_YEAR,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE_CLASS,BBOX,Date
0,37.773979,-86.314697,2014,74,Railroad,B,"[-86.3407, 37.75598, -86.2887, 37.79198]",2014-03-16
1,48.5884,-114.6291,2015,211,Railroad,B,"[-114.6551, 48.5704, -114.6031, 48.6064]",2015-07-31
2,43.1026,-73.8311,2015,122,Railroad,B,"[-73.8571, 43.0846, -73.8051, 43.1206]",2015-05-03
3,39.84222222,-120.68055556,2014,143,Railroad,A,"[-120.70656, 39.82422, -120.65456, 39.86022]",2014-05-24
4,32.922847,-96.749522,2014,6,Railroad,A,"[-96.77552, 32.90485, -96.72352, 32.94085]",2014-01-07
5,32.42861111,-84.25225,2014,128,Railroad,B,"[-84.27825, 32.41061, -84.22625, 32.44661]",2014-05-09
6,40.0392,-115.2092,2014,242,Railroad,B,"[-115.2352, 40.0212, -115.1832, 40.0572]",2014-08-31
7,44.52474,-89.79273,2015,71,Railroad,B,"[-89.81873, 44.50674, -89.76673, 44.54274]",2015-03-13
8,32.43136667,-82.67062778,2015,76,Railroad,A,"[-82.69663, 32.41337, -82.64463, 32.44937]",2015-03-18
9,32.24517,-92.85503,2014,25,Railroad,C,"[-92.88103, 32.22717, -92.82903, 32.26317]",2014-01-26
10,31.4653,-95.2112,2014,192,Railroad,B,"[-95.2372, 31.4473, -95.1852, 31.4833]",2014-07-12
11,46.92076768,-92.61576932,2014,112,Railroad,B,"[-92.64177, 46.90277, -92.58977, 46.93877]",2014-04-23
12,41.606531,-87.296767,2015,91,Railroad,D,"[-87.32277, 41.58853, -87.27077, 41.62453]",2015-04-02
13,40.76982,-99.71721,2014,283,Railroad,A,"[-99.74321, 40.75182, -99.69121, 40.78782]",2014-10-11
14,43.759170000000005,-122.50721999999999,2015,226,Railroad,B,"[-122.53322, 43.74117, -122.48122, 43.77717]",2015-08-15
15,34.8315,-79.60033333,2014,210,Railroad,B,"[-79.62633, 34.8135, -79.57433, 34.8495]",2014-07-30
16,32.33921822,-89.22599947,2015,96,Railroad,B,"[-89.252, 32.32122, -89.2, 32.35722]",2015-04-07
17,45.5212,-100.2421,2015,190,Railroad,B,"[-100.2681, 45.5032, -100.2161, 45.5392]",2015-07-10
18,36.25015,-88.783383,2015,265,Railroad,B,"[-88.80938, 36.23215, -88.75738, 36.26815]",2015-09-23
19,45.25535,-91.60053,2015,181,Railroad,A,"[-91.62653, 45.23735, -91.57453, 45.27335]",2015-07-01
20,32.33972096,-89.25456209999999,2015,38,Railroad,B,"[-89.28056, 32.32172, -89.22856, 32.35772]",2015-02-08
21,41.025,-115.387,2014,296,Railroad,A,"[-115.413, 41.007, -115.361, 41.043]",2014-10-24
22,47.29045957,-92.47108365,2015,213,Railroad,C,"[-92.49708, 47.27246, -92.44508, 47.30846]",2015-08-02
23,40.57417,-76.01694,2014,100,Railroad,B,"[-76.04294, 40.55617, -75.99094, 40.59217]",2014-04-11
24,36.8624,-94.4271,2014,124,Railroad,B,"[-94.4531, 36.8444, -94.4011, 36.8804]",2014-05-05
25,47.085,-114.0461,2014,269,Railroad,B,"[-114.0721, 47.067, -114.0201, 47.103]",2014-09-27
26,31.060290000000002,-104.07041,2014,103,Railroad,B,"[-104.09641, 31.04229, -104.04441, 31.07829]",2014-04-14
27,40.35472,-76.42889,2014,118,Railroad,B,"[-76.45489, 40.33672, -76.40289, 40.37272]",2014-04-29
28,37.74529981,-82.21134906,2015,316,Railroad,B,"[-82.23735, 37.7273, -82.18535, 37.7633]",2015-11-13
29,43.498171,-70.435448,2014,128,Railroad,B,"[-70.46145, 43.48017, -70.40945, 43.51617]",2014-05-09
30,32.35526703,-89.65151767,2015,292,Railroad,B,"[-89.67752, 32.33727, -89.62552, 32.37327]",2015-10-20
31,42.469852,-73.16340500000001,2015,293,Railroad,B,"[-73.18941, 42.45185, -73.13741, 42.48785]",2015-10-21
32,45.32660742,-93.59939064,2015,75,Railroad,A,"[-93.62539, 45.30861, -93.57339, 45.34461]",2015-03-17
33,31.15462339,-90.647704,2014,111,Railroad,B,"[-90.6737, 31.13662, -90.6217, 31.17262]",2014-04-22
34,33.52885759,-89.7040002,2014,334,Railroad,C,"[-89.73, 33.51086, -89.678, 33.54686]",2014-12-01
35,43.519083,-70.372111,2014,104,Railroad,A,"[-70.39811, 43.50108, -70.34611, 43.53708]",2014-04-15
36,33.05706363,-89.27412004,2014,85,Railroad,B,"[-89.30012, 33.03906, -89.24812, 33.07506]",2014-03-27
37,40.65806,-79.97166999999999,2014,111,Railroad,A,"[-79.99767, 40.64006, -79.94567, 40.67606]",2014-04-22
38,41.25521,-97.77416,2014,84,Railroad,A,"[-97.80016, 41.23721, -97.74816, 41.27321]",2014-03-26
39,37.64806547,-80.74457951,2014,126,Railroad,A,"[-80.77058, 37.63007, -80.71858, 37.66607]",2014-05-07
40,39.815,-78.99583,2014,111,Railroad,B,"[-79.02183, 39.797, -78.96983, 39.833]",2014-04-22
41,30.52461569,-88.94530684,2014,156,Railroad,B,"[-88.97131, 30.50662, -88.91931, 30.54262]",2014-06-06
42,35.90973333,-82.85005,2014,240,Railroad,B,"[-82.87605, 35.89173, -82.82405, 35.92773]",2014-08-29
43,40.6451,-75.1954,2014,109,Railroad,A,"[-75.2214, 40.6271, -75.1694, 40.6631]",2014-04-20
44,40.6349,-75.189,2014,109,Railroad,A,"[-75.215, 40.6169, -75.163, 40.6529]",2014-04-20
45,46.61641756,-95.60931693,2014,100,Railroad,B,"[-95.63532, 46.59842, -95.58332, 46.63442]",2014-04-11
46,41.44611111,-120.94027778,2014,185,Railroad,C,"[-120.96628, 41.42811, -120.91428, 41.46411]",2014-07-05
47,40.04293,-76.40874000000001,2014,111,Railroad,B,"[-76.43474, 40.02493, -76.38274, 40.06093]",2014-04-22
48,45.68756,-91.26581999999999,2015,77,Railroad,A,"[-91.29182, 45.66956, -91.23982, 45.70556]",2015-03-19
49,42.163000000000004,-75.8738,2015,129,Railroad,B,"[-75.8998, 42.145, -75.8478, 42.181]",2015-05-10
50,45.25577,-91.60077,2015,181,Railroad,A,"[-91.62677, 45.23777, -91.57477, 45.27377]",2015-07-01
51,43.506388,-70.394666,2014,128,Railroad,B,"[-70.42067, 43.48839, -70.36867, 43.52439]",2014-05-09
52,38.224776,-90.23344940000001,2014,79,Railroad,B,"[-90.25945, 38.20678, -90.20745, 38.24278]",2014-03-21
53,40.6546,-75.1945,2014,109,Railroad,A,"[-75.2205, 40.6366, -75.1685, 40.6726]",2014-04-20
54,46.7021,-113.3665,2015,176,Railroad,A,"[-113.3925, 46.6841, -113.3405, 46.7201]",2015-06-26
55,31.16462766,-89.63152245,2014,348,Railroad,C,"[-89.65752, 31.14663, -89.60552, 31.18263]",2014-12-15
