,LATITUDE,LONGITUDE,FIRE_YEAR,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE_CLASS,BBOX,Date
0,35.3206,-106.5351,2014,91,Smoking,A,"[-106.5611, 35.3026, -106.5091, 35.3386]",2014-04-02
1,42.6697,-77.0571,2014,133,Smoking,B,"[-77.0831, 42.6517, -77.0311, 42.6877]",2014-05-14
2,37.19,-95.54,2015,52,Smoking,B,"[-95.566, 37.172, -95.514, 37.208]",2015-02-22
3,40.79888889,-107.43111111,2015,291,Smoking,A,"[-107.45711, 40.78089, -107.40511, 40.81689]",2015-10-19
4,32.77205,-95.03774,2015,31,Smoking,A,"[-95.06374, 32.75405, -95.01174, 32.79005]",2015-02-01
5,33.489709999999995,-117.080244,2015,197,Smoking,A,"[-117.10624, 33.47171, -117.05424, 33.50771]",2015-07-17
6,39.474591,-76.398894,2015,327,Smoking,B,"[-76.42489, 39.45659, -76.37289, 39.49259]",2015-11-24
7,33.43388889,-82.5785,2014,347,Smoking,B,"[-82.6045, 33.41589, -82.5525, 33.45189]",2014-12-14
8,33.06358333,-83.28111111,2014,86,Smoking,B,"[-83.30711, 33.04558, -83.25511, 33.08158]",2014-03-28
9,38.54805556,-119.91,2014,279,Smoking,A,"[-119.936, 38.53006, -119.884, 38.56606]",2014-10-07
10,37.97,-95.07,2015,74,Smoking,B,"[-95.096, 37.952, -95.044, 37.988]",2015-03-16
11,41.12737,-91.86003000000001,2015,94,Smoking,B,"[-91.88603, 41.10937, -91.83403, 41.14537]",2015-04-05
12,34.904205,-81.17360699999999,2014,61,Smoking,B,"[-81.19961, 34.8862, -81.14761, 34.9222]",2014-03-03
13,37.78,-98.02,2015,73,Smoking,C,"[-98.046, 37.762, -97.994, 37.798]",2015-03-15
14,30.554242,-97.427316,2014,254,Smoking,A,"[-97.45332, 30.53624, -97.40132, 30.57224]",2014-09-12
15,33.470079,-117.71398500000001,2014,134,Smoking,A,"[-117.73998, 33.45208, -117.68799, 33.48808]",2014-05-15
16,33.472603,-81.028603,2014,343,Smoking,B,"[-81.0546, 33.4546, -81.0026, 33.4906]",2014-12-10
17,32.15428333,-84.93764167,2014,74,Smoking,B,"[-84.96364, 32.13628, -84.91164, 32.17228]",2014-03-16
18,34.076572999999996,-99.303703,2014,124,Smoking,B,"[-99.3297, 34.05857, -99.2777, 34.09457]",2014-05-05
19,43.1599,-77.6102,2015,219,Smoking,A,"[-77.6362, 43.1419, -77.5842, 43.1779]",2015-08-08
20,35.68333333,-81.75,2014,70,Smoking,B,"[-81.776, 35.66533, -81.724, 35.70133]",2014-03-12
21,37.558499,-90.195916,2014,74,Smoking,B,"[-90.22192, 37.5405, -90.16992, 37.5765]",2014-03-16
22,39.4275,-74.8903,2014,100,Smoking,B,"[-74.9163, 39.4095, -74.8643, 39.4455]",2014-04-11
23,41.2051,-73.9781,2015,144,Smoking,B,"[-74.0041, 41.1871, -73.9521, 41.2231]",2015-05-25
24,37.24281,-92.982959,2014,100,Smoking,B,"[-93.00896, 37.22481, -92.95696, 37.26081]",2014-04-11
25,32.50018333,-94.92578333,2014,14,Smoking,B,"[-94.95178, 32.48218, -94.89978, 32.51818]",2014-01-15
26,42.7297,-73.8324,2015,109,Smoking,B,"[-73.8584, 42.7117, -73.8064, 42.7477]",2015-04-20
27,38.785961,-120.71628700000001,2015,204,Smoking,A,"[-120.74229, 38.76796, -120.69029, 38.80396]",2015-07-24
28,40.2352,-74.3198,2014,77,Smoking,A,"[-74.3458, 40.2172, -74.2938, 40.2532]",2014-03-19
29,34.88021666,-80.72695,2014,230,Smoking,A,"[-80.75295, 34.86222, -80.70095, 34.89822]",2014-08-19
30,36.445683,-76.310466,2015,72,Smoking,A,"[-76.33647, 36.42768, -76.28447, 36.46368]",2015-03-14
31,43.46306,-123.84167,2015,158,Smoking,A,"[-123.86767, 43.44506, -123.81567, 43.48106]",2015-06-08
32,33.923758,-116.640528,2014,203,Smoking,B,"[-116.66653, 33.90576, -116.61453, 33.94176]",2014-07-23
33,41.0385,-73.7586,2015,135,Smoking,B,"[-73.7846, 41.0205, -73.7326, 41.0565]",2015-05-16
34,40.8791,-73.8762,2015,121,Smoking,A,"[-73.9022, 40.8611, -73.8502, 40.8971]",2015-05-02
35,43.0848,-77.6248,2015,236,Smoking,A,"[-77.6508, 43.0668, -77.5988, 43.1028]",2015-08-25
36,37.24,-95.71,2015,86,Smoking,A,"[-95.736, 37.222, -95.684, 37.258]",2015-03-28
37,42.9817,-108.3914,2015,267,Smoking,A,"[-108.4174, 42.9637, -108.3654, 42.9997]",2015-09-25
38,35.23391666,-82.03116666,2014,20,Smoking,A,"[-82.05717, 35.21592, -82.00517, 35.25192]",2014-01-21
39,32.7376001,-101.95099,2014,72,Smoking,B,"[-101.97699, 32.7196, -101.92499, 32.7556]",2014-03-14
40,42.92472,-70.85260799999999,2015,150,Smoking,A,"[-70.87861, 42.90672, -70.82661, 42.94272]",2015-05-31
41,42.3619,-79.4855,2014,124,Smoking,A,"[-79.5115, 42.3439, -79.4595, 42.3799]",2014-05-05
42,41.0951,-73.9684,2015,262,Smoking,A,"[-73.9944, 41.0771, -73.9424, 41.1131]",2015-09-20
43,39.308766999999996,-82.753331,2015,108,Smoking,A,"[-82.77933, 39.29077, -82.72733, 39.32677]",2015-04-19
44,34.640910999999996,-81.56378199999999,2015,190,Smoking,A,"[-81.58978, 34.62291, -81.53778, 34.65891]",2015-07-10
45,33.333177,-101.807247,2014,70,Smoking,A,"[-101.83325, 33.31518, -101.78125, 33.35118]",2014-03-12
