,LATITUDE,LONGITUDE,FIRE_YEAR,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE_CLASS,BBOX,Date
0,38.40123252,-79.89524577,2014,129,Structure,C,"[-79.92125, 38.38323, -79.86925, 38.41923]",2014-05-10
1,37.05,-100.92,2015,248,Structure,A,"[-100.946, 37.032, -100.894, 37.068]",2015-09-06
2,34.634547999999995,-80.330238,2015,38,Structure,B,"[-80.35624, 34.61655, -80.30424, 34.65255]",2015-02-08
3,34.672825,-81.73305500000001,2014,21,Structure,B,"[-81.75906, 34.65483, -81.70706, 34.69083]",2014-01-22
4,32.96132,-92.85993,2014,64,Structure,A,"[-92.88593, 32.94332, -92.83393, 32.97932]",2014-03-06
5,43.9,-123.03166999999999,2014,197,Structure,A,"[-123.05767, 43.882, -123.00567, 43.918]",2014-07-17
6,36.06425,-82.53926700000001,2014,129,Structure,B,"[-82.56527, 36.04625, -82.51327, 36.08225]",2014-05-10
7,47.85439728,-92.40781387,2014,153,Structure,A,"[-92.43381, 47.8364, -92.38181, 47.8724]",2014-06-03
8,46.374520000000004,-120.78542,2015,227,Structure,B,"[-120.81142, 46.35652, -120.75942, 46.39252]",2015-08-16
9,46.76653741,-93.67570467,2015,106,Structure,B,"[-93.7017, 46.74854, -93.6497, 46.78454]",2015-04-17
10,36.059567,-86.262233,2014,69,Structure,C,"[-86.28823, 36.04157, -86.23623, 36.07757]",2014-03-11
11,35.042967,-87.8359,2015,46,Structure,C,"[-87.8619, 35.02497, -87.8099, 35.06097]",2015-02-16
12,34.168144,-80.030815,2015,43,Structure,A,"[-80.05682, 34.15014, -80.00482, 34.18614]",2015-02-13
13,40.783402,-111.17041499999999,2014,182,Structure,A,"[-111.19641, 40.7654, -111.14442, 40.8014]",2014-07-02
14,44.87275,-88.62997,2014,130,Structure,B,"[-88.65597, 44.85475, -88.60397, 44.89075]",2014-05-11
15,33.244732,-80.640656,2015,204,Structure,B,"[-80.66666, 33.22673, -80.61466, 33.26273]",2015-07-24
16,44.99361,-122.71583000000001,2014,247,Structure,B,"[-122.74183, 44.97561, -122.68983, 45.01161]",2014-09-05
17,37.17222222,-82.2725,2015,39,Structure,B,"[-82.2985, 37.15422, -82.2465, 37.19022]",2015-02-09
18,37.37,-97.06,2015,71,Structure,C,"[-97.086, 37.352, -97.034, 37.388]",2015-03-13
19,45.6522,-69.3941,2015,203,Structure,B,"[-69.4201, 45.6342, -69.3681, 45.6702]",2015-07-23
20,44.854,-73.5039,2015,142,Structure,A,"[-73.5299, 44.836, -73.4779, 44.872]",2015-05-23
21,36.55763889,-80.59686111,2014,27,Structure,B,"[-80.62286, 36.53964, -80.57086, 36.57564]",2014-01-28
22,38.52986949,-81.0681376,2014,114,Structure,A,"[-81.09414, 38.51187, -81.04214, 38.54787]",2014-04-25
23,30.7473,-86.3841,2015,328,Structure,B,"[-86.4101, 30.7293, -86.3581, 30.7653]",2015-11-25
24,33.522304999999996,-81.874039,2014,241,Structure,B,"[-81.90004, 33.5043, -81.84804, 33.5403]",2014-08-30
25,44.9644,-100.7186,2015,89,Structure,A,"[-100.7446, 44.9464, -100.6926, 44.9824]",2015-03-31
26,48.7386,-118.73,2014,231,Structure,A,"[-118.756, 48.7206, -118.704, 48.7566]",2014-08-20
27,32.212604,-88.306273,2014,287,Structure,B,"[-88.33227, 32.1946, -88.28027, 32.2306]",2014-10-15
28,37.79,-94.67,2015,306,Structure,B,"[-94.696, 37.772, -94.644, 37.808]",2015-11-03
29,37.07,-96.97,2015,75,Structure,B,"[-96.996, 37.052, -96.944, 37.088]",2015-03-17
30,37.94072222,-78.47572222,2015,114,Structure,B,"[-78.50172, 37.92272, -78.44972, 37.95872]",2015-04-25
31,46.9331,-90.89403,2015,120,Structure,A,"[-90.92003, 46.9151, -90.86803, 46.9511]",2015-05-01
32,43.875640000000004,-89.88889,2014,91,Structure,B,"[-89.91489, 43.85764, -89.86289, 43.89364]",2014-04-02
33,38.84,-96.56,2015,286,Structure,C,"[-96.586, 38.822, -96.534, 38.858]",2015-10-14
34,43.02467,-102.54925,2015,209,Structure,A,"[-102.57525, 43.00667, -102.52325, 43.04267]",2015-07-29
35,42.435,-123.0783,2015,238,Structure,B,"[-123.1043, 42.417, -123.0523, 42.453]",2015-08-27
36,34.056385,-80.126137,2014,216,Structure,B,"[-80.15214, 34.03838, -80.10014, 34.07438]",2014-08-05
37,39.60800699,-80.24999638,2015,295,Structure,B,"[-80.276, 39.59001, -80.224, 39.62601]",2015-10-23
38,36.491617,-84.243,2014,73,Structure,B,"[-84.269, 36.47362, -84.217, 36.50962]",2014-03-15
39,36.74711111,-80.57652778,2014,292,Structure,B,"[-80.60253, 36.72911, -80.55053, 36.76511]",2014-10-20
40,41.0758,-123.6783,2015,150,Structure,B,"[-123.7043, 41.0578, -123.6523, 41.0938]",2015-05-31
